"","dim","ntrain","mtry_first","mtry_second","min_node_size_spl_first","min_node_size_spl_second","min_node_size_ave_first","min_node_size_ave_second","splitratio_first","splitratio_second","replace_first","replace_second","sample_fraction_first","sample_fraction_second","RsparseT2weak"
"20",12,1000,10,3,3,3,10,30,0.3,0.05,TRUE,FALSE,0.01,0.7,NA
"21",12,1000,1,8,1,1,1,10,0.2,0.2,TRUE,TRUE,0.5,0.01,NA
"22",12,1000,11,7,30,10,30,30,0.5,0.3,TRUE,FALSE,0.632,0.9,NA
"23",12,1000,11,12,100,3,10,30,0.5,0.05,TRUE,TRUE,0.5,0.9,NA
"24",12,1000,3,2,100,30,1,10,0.05,0.3,TRUE,FALSE,0.7,0.632,NA
"25",12,1000,2,10,10,100,30,100,0.05,0.8,TRUE,TRUE,0.3,0.01,NA
"26",12,1000,6,12,1,10,30,100,0.2,0.1,FALSE,TRUE,0.1,0.01,NA
"27",12,1000,1,1,100,3,30,100,0.3,0.5,FALSE,FALSE,0.7,0.01,NA
"28",12,1000,7,7,3,100,1,3,0.3,0.1,FALSE,FALSE,1,0.9,NA
"29",12,1000,6,7,100,30,30,100,0.3,0.8,FALSE,TRUE,0.5,0.5,NA
"30",12,1000,8,9,10,1,10,100,0.05,0.3,TRUE,TRUE,0.5,0.5,NA
"31",12,1000,10,2,1,100,3,100,0.2,0.2,TRUE,TRUE,0.3,0.9,NA
"32",12,1000,4,8,30,30,10,100,0.3,0.3,TRUE,TRUE,0.5,0.632,NA
"33",12,1000,3,1,10,100,10,30,0.2,0.1,TRUE,FALSE,0.632,0.3,NA
"34",12,1000,7,1,3,10,1,30,0.05,0.1,TRUE,TRUE,0.5,0.5,NA
"35",12,1000,12,10,100,100,100,3,0.2,0.1,TRUE,TRUE,1,1,NA
"36",12,1000,6,4,3,100,100,3,0.2,0.2,FALSE,TRUE,0.9,1,NA
"37",12,1000,5,7,100,30,10,100,0.3,0.2,TRUE,TRUE,0.7,0.01,NA
"38",12,1000,12,6,10,30,1,100,0.1,0.8,TRUE,TRUE,0.1,0.7,NA
"39",12,1000,1,6,100,1,30,30,0.2,0.1,TRUE,FALSE,0.632,0.9,NA
"40",12,1000,4,2,30,30,100,3,0.8,0.3,FALSE,FALSE,0.5,1,NA
"41",12,1000,2,4,100,30,1,10,0.1,0.3,TRUE,TRUE,1,0.01,NA
"42",12,1000,3,10,100,100,3,30,0.8,0.5,TRUE,TRUE,0.632,0.9,NA
"43",12,1000,4,3,1,10,100,1,0.8,0.3,FALSE,FALSE,1,0.01,NA
"44",12,1000,9,11,10,30,100,30,0.8,0.3,TRUE,TRUE,1,0.01,NA
"45",12,1000,9,1,10,10,1,1,0.05,0.8,FALSE,FALSE,0.5,1,NA
"46",12,1000,12,8,30,3,10,100,0.1,0.3,TRUE,TRUE,0.01,0.632,NA
"47",12,1000,5,10,100,10,1,1,0.05,0.2,FALSE,TRUE,0.3,0.1,NA
"48",12,1000,1,4,3,1,1,100,0.5,0.1,FALSE,FALSE,0.01,0.7,NA
"49",12,1000,1,3,30,30,10,100,0.8,0.05,FALSE,TRUE,0.01,0.7,NA
"50",12,1000,7,2,3,10,3,1,0.05,0.05,TRUE,TRUE,0.7,0.01,NA
"51",12,1000,8,2,30,10,30,10,0.3,0.1,FALSE,FALSE,0.1,0.9,NA
"52",12,1000,4,12,1,1,3,100,0.1,0.2,TRUE,FALSE,0.01,0.1,NA
"53",12,1000,8,9,1,100,10,100,0.05,0.05,TRUE,TRUE,0.632,0.01,NA
"54",12,1000,8,9,100,100,3,100,0.2,0.1,FALSE,TRUE,0.9,0.7,NA
"55",12,1000,4,7,10,3,100,3,0.1,0.5,FALSE,FALSE,0.7,0.5,NA
"56",12,1000,2,2,100,30,10,1,0.3,0.8,TRUE,TRUE,0.3,0.3,NA
"57",12,1000,3,5,100,1,10,3,0.05,0.05,FALSE,TRUE,0.632,0.1,NA
"58",12,1000,5,8,30,1,1,1,0.2,0.05,TRUE,TRUE,0.7,0.5,NA
"59",12,1000,11,3,30,10,10,1,0.05,0.3,FALSE,FALSE,1,0.3,NA
"60",12,1000,2,4,30,1,10,30,0.8,0.2,FALSE,TRUE,0.5,0.3,NA
"61",12,1000,3,11,30,10,10,3,0.2,0.05,TRUE,TRUE,0.3,0.9,NA
"62",12,1000,3,8,3,3,100,1,0.8,0.05,FALSE,FALSE,0.632,0.632,NA
"63",12,1000,2,2,10,30,100,100,0.3,0.3,TRUE,FALSE,0.7,0.5,NA
"64",12,1000,10,9,3,3,10,1,0.8,0.05,FALSE,FALSE,0.9,0.01,NA
"65",12,1000,4,4,100,1,1,10,0.5,0.2,TRUE,FALSE,0.1,0.632,NA
"66",12,1000,1,10,1,1,1,30,0.1,0.8,TRUE,FALSE,0.01,0.1,NA
"67",12,1000,7,12,30,100,10,100,0.8,0.8,TRUE,TRUE,0.01,0.632,NA
"68",12,1000,7,4,100,10,3,3,0.1,0.8,TRUE,TRUE,0.632,0.5,NA
"69",12,1000,6,1,30,1,100,100,0.3,0.3,TRUE,TRUE,0.5,0.9,NA
"70",12,1000,7,8,100,1,100,3,0.1,0.3,FALSE,FALSE,0.9,0.01,NA
"71",12,1000,2,10,30,30,3,3,0.8,0.8,TRUE,TRUE,0.5,0.7,NA
"72",12,1000,7,12,30,1,3,10,0.3,0.8,FALSE,FALSE,0.3,0.3,NA
"73",12,1000,7,4,10,10,3,100,0.8,0.1,TRUE,TRUE,0.3,0.3,NA
"74",12,1000,1,7,10,100,100,1,0.2,0.5,TRUE,TRUE,1,0.632,NA
"75",12,1000,4,8,1,3,100,10,0.8,0.3,FALSE,FALSE,0.9,0.5,NA
"76",12,1000,4,1,10,30,1,30,0.5,0.8,TRUE,FALSE,0.7,0.5,NA
"77",12,1000,2,6,3,100,100,3,0.8,0.05,FALSE,FALSE,0.3,0.3,NA
"78",12,1000,12,7,100,30,3,10,0.05,0.5,FALSE,TRUE,0.7,0.1,NA
"79",12,1000,10,4,100,100,1,100,0.2,0.5,FALSE,TRUE,0.7,0.5,NA
"80",12,1000,4,8,10,3,1,30,0.2,0.8,TRUE,FALSE,0.632,1,NA
"81",12,1000,9,7,10,3,3,30,0.05,0.2,FALSE,TRUE,0.9,0.5,NA
"82",12,1000,1,8,3,3,3,1,0.1,0.5,FALSE,FALSE,0.1,0.5,NA
"83",12,1000,9,8,1,1,1,10,0.5,0.05,TRUE,FALSE,0.1,0.632,NA
"84",12,1000,2,4,100,3,100,3,0.5,0.3,FALSE,FALSE,0.5,0.632,NA
"85",12,1000,9,7,30,30,10,30,0.8,0.3,FALSE,FALSE,0.01,0.632,NA
"86",12,1000,12,12,1,1,1,30,0.5,0.1,TRUE,FALSE,0.7,1,NA
"87",12,1000,12,10,10,100,100,100,0.5,0.1,TRUE,FALSE,0.01,1,NA
"88",12,1000,4,4,10,100,100,10,0.1,0.8,FALSE,FALSE,0.01,0.7,NA
"89",12,1000,3,1,100,3,3,3,0.5,0.8,FALSE,FALSE,0.1,0.01,NA
"90",12,1000,3,2,30,1,100,3,0.8,0.05,FALSE,FALSE,0.5,0.9,NA
"91",12,1000,6,12,10,1,1,3,0.3,0.05,FALSE,FALSE,1,0.3,NA
"92",12,1000,12,2,3,100,3,10,0.3,0.1,FALSE,TRUE,0.01,0.3,NA
"93",12,1000,4,4,1,10,1,100,0.8,0.05,FALSE,FALSE,0.01,0.632,NA
"94",12,1000,11,3,1,30,100,1,0.1,0.8,FALSE,FALSE,0.3,0.01,NA
"95",12,1000,9,9,10,100,1,3,0.1,0.3,TRUE,TRUE,0.1,0.3,NA
"96",12,1000,2,3,10,3,1,30,0.05,0.1,FALSE,TRUE,0.3,0.1,NA
"97",12,1000,10,7,1,100,100,100,0.8,0.8,TRUE,TRUE,0.1,1,NA
"98",12,1000,10,7,1,3,100,10,0.5,0.3,TRUE,FALSE,0.5,0.01,NA
"99",12,1000,2,7,100,10,3,100,0.8,0.3,FALSE,FALSE,0.01,0.9,NA
"100",12,1000,7,9,1,10,30,1,0.3,0.05,TRUE,TRUE,0.632,0.01,NA
"101",12,1000,1,7,30,3,100,3,0.05,0.1,TRUE,TRUE,0.7,0.1,NA
"102",12,1000,4,1,30,10,10,100,0.1,0.1,FALSE,FALSE,0.3,0.1,NA
"103",12,1000,6,7,100,3,1,10,0.5,0.3,FALSE,FALSE,0.5,0.9,NA
"104",12,1000,4,3,1,1,30,10,0.3,0.5,FALSE,FALSE,1,0.9,NA
"105",12,1000,6,11,30,3,30,10,0.1,0.2,FALSE,FALSE,0.5,0.01,NA
"106",12,1000,5,8,3,100,10,30,0.3,0.05,TRUE,FALSE,0.01,0.01,NA
"107",12,1000,9,4,100,3,100,10,0.05,0.2,FALSE,TRUE,1,0.632,NA
"108",12,1000,3,10,30,10,1,10,0.1,0.8,TRUE,FALSE,0.9,1,NA
"109",12,1000,11,10,30,1,1,30,0.5,0.5,TRUE,FALSE,0.01,0.5,NA
"110",12,1000,12,11,10,10,1,10,0.1,0.5,FALSE,TRUE,0.9,0.3,NA
"111",12,1000,11,6,100,1,100,1,0.2,0.5,TRUE,FALSE,0.632,0.9,NA
"112",12,1000,6,4,100,1,3,100,0.5,0.1,TRUE,TRUE,0.3,0.632,NA
"113",12,1000,3,1,10,10,30,10,0.2,0.3,FALSE,FALSE,0.3,0.3,NA
"114",12,1000,12,6,100,3,100,3,0.2,0.3,FALSE,FALSE,0.5,0.3,NA
"115",12,1000,1,5,10,1,1,3,0.2,0.8,FALSE,TRUE,0.632,1,NA
"116",12,1000,12,10,1,1,100,3,0.1,0.1,TRUE,FALSE,0.632,0.3,NA
"117",12,1000,2,6,100,30,10,30,0.5,0.8,FALSE,FALSE,0.7,0.1,NA
"118",12,1000,11,2,1,1,3,1,0.05,0.05,TRUE,TRUE,0.7,0.632,NA
"119",12,1000,3,2,30,1,100,10,0.5,0.5,FALSE,TRUE,1,0.9,NA
"120",12,1000,11,6,10,3,30,1,0.5,0.1,TRUE,FALSE,0.1,0.1,NA
"121",12,1000,12,11,10,1,100,10,0.05,0.1,TRUE,TRUE,0.1,0.1,NA
"122",12,1000,10,9,30,1,3,100,0.2,0.1,TRUE,FALSE,0.9,0.1,NA
"123",12,1000,1,4,100,3,1,10,0.8,0.8,TRUE,TRUE,0.7,0.01,NA
"124",12,1000,7,9,1,3,10,1,0.5,0.5,FALSE,FALSE,0.01,0.7,NA
"125",12,1000,5,2,3,1,30,1,0.2,0.3,TRUE,TRUE,0.01,0.3,NA
"126",12,1000,4,1,30,10,10,100,0.8,0.8,TRUE,TRUE,0.9,0.632,NA
"127",12,1000,4,8,100,100,30,1,0.5,0.2,TRUE,FALSE,0.632,1,NA
"128",12,1000,1,5,1,10,30,3,0.5,0.8,TRUE,FALSE,1,0.5,NA
"129",12,1000,4,3,1,3,10,100,0.3,0.2,TRUE,TRUE,0.01,0.9,NA
"130",12,1000,3,10,3,10,3,30,0.5,0.8,FALSE,TRUE,0.7,0.01,NA
"131",12,1000,12,5,100,100,30,10,0.3,0.2,TRUE,TRUE,0.01,0.5,NA
"132",12,1000,2,7,1,30,10,1,0.2,0.05,FALSE,FALSE,1,0.5,NA
"133",12,1000,6,6,1,30,30,30,0.8,0.3,FALSE,TRUE,0.1,0.7,NA
"134",12,1000,1,10,1,1,30,1,0.5,0.3,TRUE,FALSE,0.3,0.9,NA
"135",12,1000,4,8,30,30,30,3,0.1,0.3,TRUE,TRUE,0.3,0.632,NA
"136",12,1000,8,8,100,10,1,30,0.05,0.1,TRUE,FALSE,0.7,1,NA
"137",12,1000,12,2,3,1,30,30,0.3,0.8,TRUE,TRUE,0.9,0.7,NA
"138",12,1000,12,10,10,30,30,30,0.8,0.1,FALSE,TRUE,0.01,0.3,NA
"139",12,1000,8,9,3,1,1,30,0.2,0.2,FALSE,FALSE,0.9,0.9,NA
"140",12,1000,3,9,1,30,3,10,0.3,0.8,TRUE,FALSE,0.3,0.1,NA
"141",12,1000,4,12,100,100,30,30,0.8,0.05,TRUE,FALSE,0.3,0.1,NA
"142",12,1000,4,5,3,10,3,1,0.3,0.1,FALSE,TRUE,0.7,0.1,NA
"143",12,1000,10,4,3,1,100,30,0.5,0.5,TRUE,TRUE,0.1,0.1,NA
"144",12,1000,12,1,3,1,30,100,0.5,0.05,FALSE,FALSE,0.632,0.3,NA
"145",12,1000,11,11,3,100,1,3,0.3,0.8,FALSE,FALSE,0.7,0.5,NA
"146",12,1000,6,1,3,3,10,10,0.8,0.5,TRUE,FALSE,0.5,0.7,NA
"147",12,1000,10,11,3,100,10,100,0.1,0.8,TRUE,TRUE,0.3,0.1,NA
"148",12,1000,6,10,3,3,10,100,0.2,0.8,FALSE,FALSE,0.5,0.01,NA
"149",12,1000,5,12,3,3,3,30,0.5,0.3,TRUE,FALSE,0.01,0.3,NA
"150",12,1000,3,8,30,3,1,30,0.1,0.3,FALSE,FALSE,0.3,0.5,NA
"151",12,1000,1,8,30,100,1,1,0.05,0.8,FALSE,FALSE,0.01,0.9,NA
"152",12,1000,2,4,1,10,10,100,0.05,0.3,TRUE,TRUE,1,0.9,NA
"153",12,1000,9,5,30,3,1,100,0.3,0.1,FALSE,TRUE,0.1,0.1,NA
"154",12,1000,8,4,3,3,100,30,0.3,0.1,FALSE,FALSE,0.3,0.7,NA
"155",12,1000,12,11,30,100,3,3,0.8,0.1,TRUE,TRUE,0.9,0.01,NA
"156",12,1000,7,1,10,3,3,100,0.2,0.2,FALSE,TRUE,0.632,1,NA
"157",12,1000,10,11,30,3,1,1,0.05,0.3,TRUE,TRUE,0.3,0.7,NA
"158",12,1000,11,12,3,10,10,30,0.2,0.8,TRUE,FALSE,0.01,0.01,NA
"159",12,1000,7,12,3,30,100,100,0.1,0.2,TRUE,FALSE,0.632,0.01,NA
"160",12,1000,2,12,3,100,30,3,0.05,0.3,TRUE,FALSE,0.01,1,NA
"161",12,1000,3,7,3,10,1,3,0.1,0.1,TRUE,TRUE,0.5,0.01,NA
"162",12,1000,8,10,10,10,30,3,0.2,0.05,TRUE,FALSE,0.3,1,NA
"163",12,1000,2,1,10,3,10,10,0.05,0.1,FALSE,FALSE,0.7,0.3,NA
"164",12,1000,4,12,100,3,30,3,0.8,0.05,FALSE,TRUE,0.9,0.5,NA
"165",12,1000,5,12,100,1,10,10,0.5,0.05,TRUE,TRUE,1,0.01,NA
"166",12,1000,4,12,10,3,10,100,0.8,0.3,TRUE,TRUE,0.1,0.01,NA
"167",12,1000,6,8,3,30,30,3,0.8,0.8,TRUE,FALSE,0.632,0.3,NA
"168",12,1000,7,5,10,100,10,10,0.1,0.8,FALSE,FALSE,0.01,0.632,NA
"169",12,1000,9,5,10,30,3,3,0.05,0.8,TRUE,TRUE,0.7,1,NA
"170",12,1000,5,3,1,100,3,100,0.8,0.8,TRUE,FALSE,0.1,0.7,NA
"171",12,1000,6,12,30,30,10,30,0.05,0.1,FALSE,FALSE,0.9,0.7,NA
"172",12,1000,7,3,100,100,1,100,0.5,0.05,TRUE,TRUE,0.9,1,NA
"173",12,1000,12,11,100,100,1,10,0.8,0.2,FALSE,FALSE,0.7,0.3,NA
"174",12,1000,10,7,10,100,100,100,0.5,0.5,FALSE,TRUE,0.1,0.9,NA
"175",12,1000,9,3,10,3,30,100,0.8,0.1,TRUE,FALSE,0.632,0.9,NA
"176",12,1000,1,4,1,10,10,100,0.8,0.1,TRUE,TRUE,0.632,0.7,NA
"177",12,1000,12,3,30,3,100,30,0.1,0.2,TRUE,FALSE,0.9,0.3,NA
"178",12,1000,7,7,10,1,100,100,0.5,0.1,FALSE,FALSE,0.5,0.9,NA
"179",12,1000,8,1,1,3,3,3,0.2,0.8,FALSE,TRUE,0.1,1,NA
"180",12,1000,12,8,3,1,1,10,0.3,0.2,FALSE,FALSE,0.3,1,NA
"181",12,1000,2,1,30,3,1,100,0.2,0.2,TRUE,TRUE,0.5,0.7,NA
"182",12,1000,12,11,30,30,30,10,0.2,0.1,FALSE,TRUE,0.3,0.01,NA
"183",12,1000,5,5,30,30,100,30,0.05,0.1,TRUE,FALSE,0.7,0.632,NA
"184",12,1000,4,8,3,100,3,3,0.05,0.05,FALSE,TRUE,0.01,0.5,NA
"185",12,1000,5,9,3,100,1,100,0.05,0.1,FALSE,FALSE,0.9,0.7,NA
"186",12,1000,6,3,3,3,30,1,0.05,0.1,TRUE,FALSE,0.9,0.632,NA
"187",12,1000,9,7,1,1,1,10,0.3,0.1,FALSE,TRUE,0.3,0.9,NA
"188",12,1000,8,10,3,1,100,100,0.5,0.05,TRUE,FALSE,0.9,0.1,NA
"189",12,1000,3,7,1,3,100,1,0.3,0.3,TRUE,FALSE,0.3,0.01,NA
"190",12,1000,7,11,1,30,30,10,0.05,0.3,TRUE,TRUE,0.632,0.7,NA
"191",12,1000,11,12,30,10,3,3,0.3,0.3,TRUE,TRUE,0.3,0.5,NA
"192",12,1000,5,7,3,10,30,1,0.2,0.05,TRUE,TRUE,0.7,0.3,NA
"193",12,1000,10,9,3,30,1,10,0.3,0.05,FALSE,FALSE,0.3,0.01,NA
"194",12,1000,7,9,10,100,100,10,0.1,0.5,TRUE,TRUE,0.7,0.7,NA
"195",12,1000,11,12,10,10,1,10,0.3,0.8,TRUE,TRUE,0.01,1,NA
"196",12,1000,8,4,10,3,100,3,0.8,0.3,FALSE,FALSE,0.3,0.5,NA
"197",12,1000,3,9,30,30,10,1,0.1,0.5,FALSE,FALSE,0.1,1,NA
"198",12,1000,12,4,100,1,1,3,0.2,0.5,TRUE,FALSE,0.7,0.5,NA
"199",12,1000,4,7,10,100,30,1,0.8,0.8,FALSE,TRUE,0.9,0.1,NA
"200",12,1000,11,7,30,3,100,1,0.3,0.5,TRUE,FALSE,0.632,0.9,NA
"201",12,1000,3,9,3,1,10,3,0.3,0.3,FALSE,FALSE,0.1,0.9,NA
"202",12,1000,5,5,30,100,1,1,0.05,0.3,TRUE,TRUE,0.1,0.01,NA
"203",12,1000,10,8,1,10,10,10,0.3,0.5,FALSE,FALSE,0.5,0.632,NA
"204",12,1000,12,4,30,1,100,3,0.2,0.3,FALSE,FALSE,0.01,0.9,NA
"205",12,1000,8,7,3,100,10,100,0.8,0.1,TRUE,FALSE,1,0.01,NA
"206",12,1000,3,2,30,10,3,100,0.05,0.5,FALSE,FALSE,0.9,1,NA
"207",12,1000,9,3,30,30,10,3,0.1,0.2,TRUE,TRUE,0.632,0.7,NA
"208",12,1000,3,5,10,1,3,10,0.2,0.1,FALSE,TRUE,0.3,0.7,NA
"209",12,1000,6,12,1,10,100,30,0.5,0.3,FALSE,FALSE,0.5,0.3,NA
"210",12,1000,1,12,10,30,100,30,0.3,0.5,TRUE,TRUE,0.9,1,NA
"211",12,1000,4,5,10,1,30,3,0.3,0.8,FALSE,FALSE,1,0.5,NA
"212",12,1000,8,7,10,1,10,30,0.05,0.8,FALSE,TRUE,0.5,1,NA
"213",12,1000,1,10,30,30,10,3,0.3,0.8,FALSE,FALSE,0.632,0.632,NA
"214",12,1000,1,12,10,30,100,3,0.05,0.5,TRUE,FALSE,1,0.01,NA
"215",12,1000,8,6,10,3,3,3,0.3,0.3,TRUE,TRUE,0.01,1,NA
"216",12,1000,2,4,10,100,3,3,0.05,0.1,FALSE,FALSE,0.632,1,NA
"217",12,1000,2,9,30,3,1,3,0.8,0.05,TRUE,TRUE,0.632,0.9,NA
"218",12,1000,3,8,10,100,1,100,0.8,0.1,FALSE,FALSE,0.7,0.9,NA
"219",12,1000,6,12,3,1,3,3,0.3,0.05,TRUE,TRUE,0.9,0.9,NA
"220",12,1000,5,1,3,30,3,30,0.5,0.5,TRUE,TRUE,0.5,0.1,NA
"221",12,1000,8,4,3,1,1,1,0.3,0.05,FALSE,FALSE,0.9,1,NA
"222",12,1000,2,7,3,100,1,30,0.1,0.5,TRUE,TRUE,0.3,1,NA
"223",12,1000,2,5,10,10,10,100,0.05,0.2,FALSE,TRUE,0.01,0.632,NA
"224",12,1000,9,4,10,100,3,3,0.05,0.05,TRUE,FALSE,0.01,0.5,NA
"225",12,1000,8,7,30,3,30,1,0.5,0.8,TRUE,TRUE,0.7,0.7,NA
"226",12,1000,1,1,100,30,30,10,0.3,0.1,TRUE,TRUE,0.1,0.9,NA
"227",12,1000,1,9,3,3,30,3,0.3,0.5,FALSE,TRUE,0.1,0.632,NA
"228",12,1000,12,4,1,10,10,30,0.3,0.2,TRUE,FALSE,0.632,1,NA
"229",12,1000,4,7,30,1,30,10,0.05,0.8,TRUE,FALSE,0.3,0.3,NA
"230",12,1000,3,12,30,3,30,3,0.2,0.2,TRUE,FALSE,0.1,0.01,NA
"231",12,1000,8,12,10,30,1,1,0.3,0.2,FALSE,FALSE,0.9,0.5,NA
"232",12,1000,2,10,3,100,1,10,0.05,0.1,TRUE,FALSE,0.9,1,NA
"233",12,1000,5,3,3,3,10,30,0.2,0.05,TRUE,TRUE,0.3,0.01,NA
"234",12,1000,3,1,100,30,100,100,0.05,0.3,TRUE,FALSE,0.3,0.01,NA
"235",12,1000,5,1,3,30,30,10,0.8,0.2,TRUE,FALSE,0.7,1,NA
"236",12,1000,3,1,10,10,100,3,0.2,0.05,FALSE,TRUE,0.3,0.01,NA
"237",12,1000,8,1,3,10,1,3,0.8,0.1,TRUE,TRUE,0.7,0.7,NA
"238",12,1000,6,7,100,30,10,100,0.8,0.2,TRUE,TRUE,0.3,0.01,NA
"239",12,1000,8,10,3,10,100,30,0.3,0.5,TRUE,FALSE,0.1,0.01,NA
"240",12,1000,4,5,10,3,100,1,0.2,0.1,TRUE,FALSE,0.1,0.7,NA
"241",12,1000,10,4,30,30,3,30,0.8,0.2,FALSE,TRUE,0.632,0.632,NA
"242",12,1000,12,2,30,1,1,100,0.5,0.2,FALSE,TRUE,0.7,0.1,NA
"243",12,1000,1,9,30,3,10,3,0.05,0.3,TRUE,TRUE,0.3,1,NA
"244",12,1000,10,3,3,10,10,100,0.3,0.5,FALSE,TRUE,0.7,0.7,NA
"245",12,1000,5,10,30,3,30,3,0.3,0.3,FALSE,TRUE,0.3,0.632,NA
"246",12,1000,6,11,30,3,30,3,0.8,0.5,FALSE,TRUE,0.9,0.7,NA
"247",12,1000,5,4,10,30,30,1,0.1,0.05,FALSE,FALSE,0.01,0.632,NA
"248",12,1000,11,10,100,10,100,10,0.05,0.05,TRUE,TRUE,0.5,0.7,NA
"249",12,1000,5,1,30,100,10,1,0.1,0.5,TRUE,TRUE,0.9,0.3,NA
"250",12,1000,10,1,1,100,10,3,0.8,0.05,FALSE,TRUE,0.3,0.1,NA
"251",12,1000,10,1,30,30,1,30,0.5,0.05,FALSE,TRUE,0.5,0.01,NA
"252",12,1000,7,6,30,1,1,1,0.5,0.2,FALSE,TRUE,0.01,0.01,NA
"253",12,1000,8,6,1,100,3,1,0.8,0.3,TRUE,TRUE,0.1,0.5,NA
"254",12,1000,1,5,30,30,100,1,0.3,0.05,TRUE,FALSE,0.1,0.632,NA
"255",12,1000,8,11,30,100,100,10,0.1,0.3,FALSE,TRUE,0.7,0.01,NA
"256",12,1000,9,11,1,3,100,10,0.3,0.1,FALSE,TRUE,0.632,0.01,NA
"257",12,1000,12,12,3,10,3,100,0.8,0.5,FALSE,TRUE,0.1,1,NA
"258",12,1000,12,3,10,3,1,30,0.1,0.5,TRUE,TRUE,0.3,0.1,NA
"259",12,1000,11,11,10,3,1,10,0.3,0.2,TRUE,FALSE,0.01,0.7,NA
"260",12,1000,4,12,30,10,10,1,0.2,0.2,FALSE,FALSE,0.3,1,NA
"261",12,1000,10,8,3,1,10,3,0.3,0.1,FALSE,FALSE,0.1,1,NA
"262",12,1000,7,10,1,3,3,10,0.1,0.5,FALSE,TRUE,0.7,0.5,NA
"263",12,1000,3,5,10,30,1,100,0.05,0.5,TRUE,TRUE,0.5,0.01,NA
"264",12,1000,12,7,10,1,30,1,0.05,0.2,TRUE,TRUE,0.7,0.01,NA
"265",12,1000,6,3,1,10,1,30,0.05,0.1,TRUE,TRUE,0.1,0.01,NA
"266",12,1000,1,9,1,3,10,100,0.3,0.3,TRUE,FALSE,0.1,0.1,NA
"267",12,1000,6,6,10,10,100,10,0.2,0.8,FALSE,TRUE,0.01,0.9,NA
"268",12,1000,11,10,1,3,10,30,0.1,0.2,FALSE,TRUE,0.9,0.7,NA
"269",12,1000,8,7,1,3,30,30,0.05,0.2,TRUE,FALSE,0.5,0.7,NA
"270",12,1000,9,5,30,100,100,1,0.1,0.1,TRUE,TRUE,0.01,0.01,NA
"271",12,1000,9,7,30,10,1,30,0.3,0.05,FALSE,FALSE,0.3,0.1,NA
"272",12,1000,3,7,30,30,100,1,0.05,0.05,TRUE,TRUE,0.632,0.9,NA
"273",12,1000,6,6,3,30,1,30,0.05,0.3,FALSE,TRUE,1,0.7,NA
"274",12,1000,8,4,10,10,10,10,0.5,0.8,TRUE,FALSE,1,1,NA
"275",12,1000,4,6,100,3,10,100,0.1,0.5,FALSE,FALSE,0.7,0.9,NA
"276",12,1000,9,3,100,100,1,10,0.2,0.1,TRUE,FALSE,0.1,0.5,NA
"277",12,1000,4,12,3,100,10,30,0.5,0.3,FALSE,FALSE,0.01,0.5,NA
"278",12,1000,9,5,1,1,1,100,0.2,0.3,FALSE,FALSE,0.632,0.9,NA
"279",12,1000,2,1,100,3,100,1,0.05,0.3,FALSE,FALSE,0.3,0.632,NA
"280",12,1000,11,10,10,1,30,10,0.05,0.2,FALSE,FALSE,0.5,0.01,NA
"281",12,1000,6,1,1,1,10,10,0.2,0.05,TRUE,TRUE,0.3,0.632,NA
"282",12,1000,6,4,10,1,10,30,0.3,0.8,TRUE,FALSE,0.9,1,NA
"283",12,1000,5,2,10,100,10,30,0.1,0.05,TRUE,FALSE,0.1,0.632,NA
